observation,reward,done,truncated,stats,actions
"[0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.16666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.5        0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.20833333 1.2093736  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.5        0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.25       5.60492018 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.5        0.         0.         0.5        0.         0.
 0.         0.         0.         0.5        0.         2.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-1.4625845044061232,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[ 0.29166667  5.74341151 10.66999166  0.          0.          0.
  0.5         0.          0.          0.          0.          0.
  0.5         0.          1.          0.5         0.          1.
  0.5         0.          0.          0.5        10.66999166  3.
  0.5         0.          0.          0.5         0.          0.
  0.5         0.          0.        ]",-25.65494912110272,False,False,{'None': None},"[0.         0.         0.         0.         0.         0.
 0.49616039 0.         0.         0.        ]"
"[ 0.33333333 23.81279764 21.74715241  0.          0.          0.
  0.5         0.          1.          0.          0.          0.
  0.5         7.14098664  2.          0.5         3.9361741   2.
  0.5         0.          1.          0.5        21.33998333  4.
  0.5         0.          1.          0.5         0.          1.
  0.5         0.          1.        ]",-256.1197228673042,False,False,{'None': None},"[0.         0.         0.         0.33378062 0.20046884 0.
 0.49616039 0.         0.         0.        ]"
"[ 0.375      24.46596412 58.71369713  0.          0.          0.
  0.5         7.17058659  2.          0.          0.          0.
  0.5        14.28197328  3.          0.5         3.9361741   3.
  0.5        10.44999184  2.          0.5        22.98514063  5.
  0.5        10.57099174  2.          0.5        10.88999149  2.
  0.5        10.84599153  2.        ]",-1218.0727846663438,False,False,{'None': None},"[0.         0.33378062 0.         0.33378062 0.         0.49616039
 0.16037507 0.49616039 0.49616039 0.49616039]"
"[ 0.41666667 30.30122932 57.06853983  0.          0.          0.
  0.5        14.34117317  3.          0.          0.          0.
  0.5        21.42295993  4.          0.5         3.9361741   4.
  0.5        20.89998367  3.          0.5        22.98514063  6.
  0.5        21.14198348  3.          0.5        21.77998299  3.
  0.5        21.69198305  3.        ]",-1062.9279425203226,False,False,{'None': None},"[0.         0.33378062 0.         0.33378062 0.         0.49616039
 0.         0.49616039 0.49616039 0.49616039]"
"[ 0.45833333 30.30122932 -0.20479182  0.5         0.          0.
  0.5        12.41878123  4.          0.          0.          0.
  0.5        13.37128281  5.          0.5        -7.00881735  5.
  0.5        28.01442809  4.          0.5        22.98514063  7.
  0.5        21.14198348  4.          0.5        24.63987877  4.
  0.5        32.43191154  4.        ]",-930.6173257218614,False,False,{'None': None},"[ 0.         -0.08820629  0.         -0.37988846 -0.49616039  0.33779
  0.          0.          0.13030475  0.49616039]"
"[ 0.5        30.30122932 -0.05711034  0.5         0.          1.
  0.5         1.60578968  5.          0.          0.          0.
  0.5        13.37128281  6.          0.5        -7.00881735  6.
  0.5        28.01442809  5.          0.5        22.98514063  8.
  0.5        28.72315889  5.          0.5        35.52987026  5.
  0.5        24.71662585  5.        ]",-921.6287869224304,False,False,{'None': None},"[ 0.         -0.49616039  0.          0.          0.          0.
  0.          0.3558322   0.49616039 -0.3558322 ]"
"[  0.54166667  34.2802072   -0.0474       0.5        -10.69199165
   2.           0.5          8.77637627   6.           0.
   0.           0.           0.5         16.84528787   7.
   0.5         -7.00881735   7.           0.5         17.1244366
   6.           0.5         22.98514063   9.           0.5
  28.72315889   6.           0.5         46.41986176   6.
   0.5         24.71662585   6.        ]",-921.0393011310193,False,False,{'None': None},"[-0.49616039  0.33378062  0.          0.16237976  0.         -0.49616039
  0.          0.          0.49616039  0.        ]"
"[  0.58333333  34.2802072   -0.08019999   0.5         -7.2287866
   3.           0.5         15.94696285   7.           0.5
   0.           0.           0.5         16.84528787   8.
   0.5        -17.9538088    8.           0.5         17.1244366
   7.           0.5         12.32614895  10.           0.5
  28.72315889   7.           0.5         57.30985325   7.
   0.5         24.71662585   7.        ]",-1180.6375828046491,False,False,{'None': None},"[ 0.16237976  0.33378062  0.          0.         -0.49616039  0.
 -0.49616039  0.          0.49616039  0.        ]"
"[  0.625       24.80573927  10.54890783   0.5         -7.2287866
   4.           0.5         15.94696285   8.           0.5
   0.           1.           0.5         16.84528787   9.
   0.5        -17.9538088    9.           0.5         23.13482472
   8.           0.5         12.32614895  11.           0.5
  28.72315889   8.           0.5         61.84837295   8.
   0.5         24.71662585   8.        ]",-563.1745701018859,False,False,{'None': None},"[0.         0.         0.         0.         0.         0.28536997
 0.         0.         0.49616039 0.        ]"
"[ 0.66666667 23.16909353 51.4821231   0.5        -0.69203505  5.
  0.5        23.11754944  9.          0.5         0.          2.
  0.5        22.05306086 10.          0.5        -7.36081707 10.
  0.5        33.58481656  9.          0.5        22.89083377 12.
  0.5        21.9331251   9.          0.          0.          0.
  0.5        32.46600325  9.        ]",-711.6294540424279,False,False,{'None': None},"[ 0.30648745  0.33378062  0.          0.33378062  0.49616039  0.49616039
  0.49616039 -0.31573843  0.          0.49616039]"
"[ 0.70833333 19.81629745 31.86527944  0.5         6.94480343  6.
  0.5        28.05205985 10.          0.5        -4.74902281  3.
  0.          0.          0.          0.5         3.23217465 11.
  0.5        38.50989333 10.          0.          0.          0.
  0.5        30.45800997 10.          0.          0.          0.
  0.          0.          0.        ]",-75.62364946277783,False,False,{'None': None},"[ 0.35806676  0.33378062 -0.21550401  0.          0.49616039  0.23384433
  0.          0.49616039  0.          0.        ]"
"[ 0.75        3.75397352 27.9404159   0.5        16.4540551   7.
  0.          0.          0.          0.5         5.90996886  4.
  0.          0.          0.          0.          0.          0.
  0.5        46.28206588 11.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",-66.00130063718876,False,False,{'None': None},"[0.49616039 0.         0.49616039 0.         0.         0.49616039
 0.         0.         0.         0.        ]"
"[ 0.79166667  0.          9.4435801   0.          0.          0.
  0.          0.          0.          0.5        15.35354896  5.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",-32.37162300335896,False,False,{'None': None},"[0.         0.         0.49616039 0.         0.         0.
 0.         0.         0.         0.        ]"
"[0.83333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.875 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.91666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.95833333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-0.0,True,False,"{'total_ev_served': np.int64(10), 'total_profits': np.float64(-11.534109506831275), 'total_energy_charged': np.float64(373.26254587229516), 'total_energy_discharged': np.float64(94.17236063008137), 'average_user_satisfaction': np.float64(0.9965586659825231), 'power_tracker_violation': np.float64(137.75858234158926), 'tracking_error': np.float64(7966.961577507079), 'energy_tracking_error': np.float64(288.2726526273069), 'energy_user_satisfaction': np.float64(99.6558665982523), 'std_energy_user_satisfaction': np.float64(0.3453739194097704), 'min_energy_user_satisfaction': np.float64(98.84375), 'total_steps_min_emergency_battery_capacity_violation': 1, 'total_transformer_overload': np.float64(0.0), 'battery_degradation': np.float64(0.001005689096650742), 'battery_degradation_calendar': np.float64(0.0002643021863605583), 'battery_degradation_cycling': np.float64(0.0007413869102901837), 'total_reward': np.float64(-7966.961577507079)}",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.16666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.20833333 0.         0.         0.5        0.         0.
 0.         0.         0.         0.         0.         0.
 0.5        0.         0.         0.         0.         0.
 0.5        0.         0.         0.5        0.         0.
 0.         0.         0.         0.         0.         0.
 0.5        0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[ 0.25       25.70854602  0.          0.5         0.          1.
  0.          0.          0.          0.          0.          0.
  0.5         0.          1.          0.5         0.          0.
  0.5         0.          1.          0.5         0.          1.
  0.          0.          0.          0.5         0.          0.
  0.5         0.          1.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[ 0.29166667 35.67498767 47.37364672  0.5        10.86799151  2.
  0.5         0.          0.          0.          0.          0.
  0.5         4.80367997  2.          0.5         0.          1.
  0.5        10.50499179  2.          0.5        10.70299164  2.
  0.5         0.          0.          0.5         0.          1.
  0.5        10.4939918   2.        ]",-469.3765882747418,False,False,{'None': None},"[0.49616039 0.         0.         0.25058605 0.         0.49616039
 0.49616039 0.         0.         0.49616039]"
"[ 0.33333333 35.69019124 63.65695027  0.5        21.73598302  3.
  0.5         0.          1.          0.          0.          0.
  0.5         4.80367997  3.          0.5        10.57099174  2.
  0.5        21.00998359  3.          0.5        21.40598328  3.
  0.5         0.          1.          0.5        10.51599179  2.
  0.5        20.9879836   3.        ]",-782.9902311144677,False,False,{'None': None},"[0.49616039 0.         0.         0.         0.49616039 0.49616039
 0.49616039 0.         0.49616039 0.49616039]"
"[ 0.375      37.78415694 84.77693377  0.5        32.60397453  4.
  0.5        10.61499171  2.          0.          0.          0.
  0.5         4.80367997  4.          0.5        21.14198348  3.
  0.5        31.51497538  4.          0.5        32.10897492  4.
  0.5        10.50499179  2.          0.5        21.03198357  3.
  0.5        31.48197541  4.        ]",-2409.5082925738466,False,False,{'None': None},"[0.49616039 0.49616039 0.         0.         0.49616039 0.49616039
 0.49616039 0.49616039 0.49616039 0.49616039]"
"[ 0.41666667 39.72887052 74.87870476  0.5        33.95235638  5.
  0.5        21.22998342  3.          0.          0.          0.
  0.5         4.80367997  5.          0.5        31.71297523  4.
  0.5        42.01996718  5.          0.5        42.4333472   5.
  0.5        21.00998359  3.          0.5        31.54797536  4.
  0.5        41.97596721  5.        ]",-1376.0054782956963,False,False,{'None': None},"[0.21550401 0.49616039 0.         0.         0.49616039 0.49616039
 0.49616039 0.49616039 0.49616039 0.49616039]"
"[ 0.45833333 39.72887052  8.28725908  0.5        33.95235638  6.
  0.5        31.84497512  4.          0.          0.          0.
  0.5         4.80367997  6.          0.5        25.35885954  5.
  0.5        35.04334057  6.          0.5        42.4333472   6.
  0.5        31.51497538  4.          0.5        31.54797536  5.
  1.         42.47398508  6.        ]",-988.574929546643,False,False,{'None': None},"[ 0.          0.49616039  0.          0.         -0.3016912  -0.32576187
  0.          0.49616039  0.          0.14533991]"
"[ 0.5        40.68198423 -6.06570213  0.5        23.33736468  7.
  0.5        42.45996683  5.          0.          0.          0.
  0.5        -5.81131174  7.          0.5        14.90886771  6.
  0.5        42.69280566  7.          1.         42.4732848   7.
  0.5        28.30886232  5.          0.5        42.06396714  6.
  1.         42.47398508  7.        ]",-2097.142883482059,False,False,{'None': None},"[-0.49616039  0.49616039  0.         -0.49616039 -0.49616039  0.49616039
  0.14533991 -0.14533991  0.49616039  0.        ]"
"[ 0.54166667 39.72887052 -0.59104269  0.5        12.72237297  8.
  0.5        31.60297531  6.          0.          0.          0.
  0.5         4.564637    8.          0.5        14.90886771  7.
  0.5        42.69280566  8.          1.         42.4732848   8.
  0.5        38.81385411  6.          0.5        42.06396714  7.
  1.         42.47398508  8.        ]",-1703.4627514385643,False,False,{'None': None},"[-0.49616039 -0.49616039  0.          0.49616039  0.          0.
  0.          0.49616039  0.          0.        ]"
"[ 0.58333333 28.26386976 -2.75623972  0.5        23.59036448  9.
  0.5        41.68182607  7.          0.          0.          0.
  0.5        -6.05035471  9.          0.5        14.90886771  8.
  0.          0.          0.          1.         42.4732848   9.
  0.5        33.94931543  7.          1.         42.97764966  8.
  0.5        33.33675096  9.        ]",-1804.9845914820924,False,False,{'None': None},"[ 0.49616039  0.47110178  0.         -0.49616039  0.          0.
  0.         -0.22051573  0.17039852 -0.42098457]"
"[ 0.625      26.76364955 15.45967069  0.5        33.66927631 10.
  0.5        48.56648751  8.          0.          0.          0.
  0.5         4.54656331 10.          0.5         4.90180422  9.
  0.          0.          0.          0.5        31.50629337 10.
  0.5        44.45430722  8.          0.          0.          0.
  0.5        31.70499349 10.        ]",-163.94751397189066,False,False,{'None': None},"[ 0.49616039  0.49616039  0.          0.49616039 -0.47512557  0.
 -0.49616039  0.49616039  0.         -0.07517582]"
"[ 0.66666667  8.47471819 42.27296698  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.5        15.47279596 10.
  0.          0.          0.          0.5        42.20928501 11.
  0.5        54.95929901  9.          0.          0.          0.
  0.5        42.19898529 11.        ]",-240.53892702509145,False,False,{'None': None},"[0.         0.         0.         0.         0.49616039 0.
 0.49616039 0.49616039 0.         0.49616039]"
"[ 0.70833333  1.4690059  17.45605624  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.5        26.0437877  11.
  0.          0.          0.          0.          0.          0.
  0.5        61.84436351 10.          0.          0.          0.
  0.          0.          0.        ]",-80.66443317838268,False,False,{'None': None},"[0.         0.         0.         0.         0.49616039 0.
 0.         0.49616039 0.         0.        ]"
"[ 0.75        0.          7.82316791  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.5        33.86695561 12.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",-40.375374838705696,False,False,{'None': None},"[0.         0.         0.         0.         0.49616039 0.
 0.         0.         0.         0.        ]"
"[0.79166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.83333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.875 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.91666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0.95833333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",-0.0,False,False,{'None': None},[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]",-0.0,True,False,"{'total_ev_served': np.int64(9), 'total_profits': np.float64(-14.66497503764175), 'total_energy_charged': np.float64(469.4837626233585), 'total_energy_discharged': np.float64(116.91139073467824), 'average_user_satisfaction': np.float64(0.9961480279205635), 'power_tracker_violation': np.float64(166.67317114544554), 'tracking_error': np.float64(12157.57199522218), 'energy_tracking_error': np.float64(340.47169145339694), 'energy_user_satisfaction': np.float64(99.61480279205635), 'std_energy_user_satisfaction': np.float64(0.2350314826948614), 'min_energy_user_satisfaction': np.float64(99.25862068965517), 'total_steps_min_emergency_battery_capacity_violation': 0, 'total_transformer_overload': np.float64(0.0), 'battery_degradation': np.float64(0.001286125005784752), 'battery_degradation_calendar': np.float64(0.0002445669001184092), 'battery_degradation_cycling': np.float64(0.0010415581056663424), 'total_reward': np.float64(-12157.57199522218)}",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
